Title,Bonus Code,Category,Region,Address,City,State,GPS,Filename,Access
9-11 Memorial,911517  ,9/11,,1200 Water Street,Wheeling,WV,"40.068385,-80.725002",911517.jpg,
9-11 Memorial - King of Prussia Fire Company,911518  ,9/11,,170 Allendale Road,King of Prussia,PA,"40.091252, -75.383407",911518.jpg,
9-11 Memorial - Minquas Fire Company #2,911519  ,9/11,,141 Wallace Avenue,Downingtown,PA,"40.012036, -75.703917",911519.jpg,
9-11 Memorial - Gardens at Olive Branch Cemetery,911520  ,9/11,,1605 South State Road 135,Greenwood,IN,"39.594225, -86.158462",911520.jpg,
"* 9-11 Memorial - Freedom Memorial: ""Standing Tall""",911521  ,9/11,,50651 Laurel Road,South Bend,IN,"41.758102, -86.264279 ",911521.jpg,
"9-11 Memorial - ""We Will Remember""",911522  ,9/11,,8819 Old Highway 169,Mountain Iron,MN,"47.539006, -92.614452",911522.jpg,
* 9-11 Memorial - South Trail FD Station 62,911523  ,9/11,,13500 Sophomore Ln,Fort Myers,FL,"26.546537, -81.817181",911523.jpg,
* 9-11 Memorial - Tampa Premium Outlet,911524  ,9/11,,2300 Grand Cypress Dr,Lutz,FL,"28.190570, -82.390599",911524.jpg,
9-11 Memorial,911525,9/11,,200 Daniels Way,Bloomington,IN,"39.167907, -86.597370",911525.jpg,
9-11 Memorial at Arbuckle Commons,911526,9/11,,328 IN-267,Brownsburg,IN,"39.848467, -86.397267",911526.jpg,
City of Schererville 9-11 Memorial,911527  ,9/11,,25 E Joliet St,Schererville,IN,"41.492022, -87.449288",911527.jpg,
9-11 Memorial,911528,9/11,,1450 Oak Ridge Turnpike,Oak Ridge,TN,"36.017127, -84.261210",911528.jpg,
Monroe County 9-11 Memorial,911529,9/11,,105 College St,Madisonville,TN,"35.519948, -84.362967",911529.jpg,
9-11 Memorial - San Angelo,911530,9/11,,18 E Ave A,San Angelo,TX,"31.457868, -100.432754",911530.jpg,
9-11 Memorial,911531  ,9/11,,1550 E Paulding Dr,Dallas,GA,"33.946544, -84.770893",911531.jpg,
* 9-11 Court of Valor - Prospect Hill Cemetery,911532  ,9/11,,700 N George St,York,PA,"39.979497, -76.741721",911532.jpg,
Lauren's Garden 9-11 Memorial Fountain,911533  ,9/11,,301 Milam St,Houston,TX,"29.762783, -95.362250",911533.jpg,
* 9-11 Memorial - We will never forget,911534,9/11,,7482 Lee Hwy.,Falls Church,VA,"38.876269, -77.199402",911534.jpg,
* City of Owego 9-11 Memorial,911535,9/11,,359 Hickories Park Rd,Owego,NY,"42.091267, -76.225617",911535.jpg,
* Pentagon Fire Truck from 9-11,911536  ,9/11,,4554 Fayette Ave,Fort Knox*,KY,"37.896663, -85.974405",911536.jpg,
* 911 Emergency Services Memorial - Pearson Park,911537  ,9/11,,210 W Gordon St.,Kinston,NC,"35.261480, -77.584480",911537.jpg,
9-11 Memorial,911538  ,9/11,,8495 Veterans Hwy,Millersville,MD,"39.099389, -76.626297",911538.jpg,
9-11 Memorial - In Honor and Remembrance Plaque,911539  ,9/11,,617 State RD 20,Hollister,FL,"29.625550, -81.797867",911539.jpg,
* 9-11 Memorial,911540  ,9/11,,6350 Horizon Dr.,Titusville,FL,"28.52656, -80.78358",911540.jpg,
9-11 Memorial - Ontario Fire & Rescue,911541  ,9/11,,444 SW 4th St,Ontario,OR,"44.023553, -116.969076",911541.jpg,
9-11 Memorial - includes steel artifact,911542  ,9/11,,1116 Pine Tree Dr.,Indian Harbour Beach,FL,"28.152167, -80.594265",911542.jpg,
9-11 Memorial,911543  ,9/11,,2241 Town Center Ave,Melbourne,FL,"28.242290, -80.725940 ",911543.jpg,
* 9-11 Memorial - Inside the National Navy SEAL Museum,911544  ,9/11,,3300 N Hwy A1A,Fort Pierce,FL,"27.495325, -80.300350 ",911544.jpg,
9-11 Memorial,911545  ,9/11,,2171 Carbough Ave,Chambersburg,PA,39.996110 - 77.656281,911545.jpg,
9-11 Memorial - Elmwood Park,911546  ,9/11,,71 Main St.,Danbury,CT,"41.39024, -73.44801",911546.jpg,
9-11 Memorial,911547  ,9/11,,340 Higgins Crowell Rd.,Yarmouth,MA,"41.66898, -70.24547",911547.jpg,
"Bladensburg September 11, 2001 Memorial Walk",911548  ,9/11,,4571 Bladensburg Rd.,Bladensburg,MD,"38.93890, -76.94017",911548.jpg,
9-11 Memorial,911549  ,9/11,,Aqueduct Rd. and Autumn St.,Cranston,RI,"41.77153, -71.44375",911549.jpg,
9-11 Memorial,911550,9/11,,39 Depot St.,Manchester,VT,"43.17613, -73.05651",911550.jpg,
9-11 Tibute - Reflect & Remember,911551  ,9/11,,12143 Buchanan Trail East,Rouzerville,PA,39.738629 - 77.517986,911551.jpg,
"* ""Lest We Forget"" 9-11 Memorial",911552,9/11,,231 James Forsyth Dr,Point Lookout - Hollister,MO,"36.614820, -93.239403",911552.jpg,
* 9-11 Memorial - Clynn County FD,911553  ,9/11,,4310 Community Rd,Brunswick*,GA,"31.203527, -81.506431",911553.jpg,
9-11 Memorial,911554  ,9/11,,120 E Main St,Apopka,FL,"28.672739, -81.508462",911554.jpg,
9-11 Memorial,911555  ,9/11,,Church Ave and Milwee St,Longwood,FL,"28.701045, -81.350236",911555.jpg,
9-11 Memorial,911559  ,9/11,,800 Venetia Bay Blvd,Venice,FL,"27.110082, -82.444193",911559.jpg,
9-11 Memorial,911560  ,9/11,,2099 Adams Ln,Sarasota,FL,"27.334735, -82.528458",911560.jpg,
9-11 Memorial,911565,9/11,,1 Junkins Ave,Portsmouth,NH,"43.071155, -70.754651",911565.jpg,
9-11 Memorial - Semper Fi,911566,9/11,,990 E 2nd Ave,Durango,CO,"37.274055, -107.878901",911566.jpg,